Date;Bastia;Besançon;Bordeaux;Bourg-Saint-Maurice;Brest;Caen;Clermont-Ferrand;Dijon;Le Mans;Lille;Lyon;Marseille;Nantes;Nice;Orléans;Paris;Pau;Perpignan;Poitiers;Reims;Rennes;Strasbourg;Toulouse;Agen;Cognac;Nancy;Nevers
01/01/2013;50.2;55.52;57.52;31.21;65.75;68.95;61.22;50.7;65.28;55.13;49.75;43.16;65.83;34.48;62.19;54.68;54.82;49.78;58.99;55.33;63.08;54.16;48.78;;;;
02/01/2013;48.74;30.94;32.21;34.7;44.12;49.89;46.89;28.68;35.83;34.43;42.02;42.48;38.09;32.52;36.23;24.3;47.31;67.3;28.65;29.88;35.57;31.6;51.9;;;;
03/01/2013;43.94;20.72;18.72;23.68;58.51;58.79;24.13;16.18;46.9;43.7;15.99;31.23;49.2;35.29;37.64;30.8;28.25;48.31;33.57;34.13;47.06;33.21;24.31;;;;
04/01/2013;42.45;17.05;30.32;17.07;50.94;58.23;23.76;21.68;49.29;46.88;14.89;19.79;48.47;26.62;46.62;38.09;24.44;47.26;37.64;44.77;46.18;20.31;21.35;;;;
05/01/2013;39.72;33.47;34.51;24.36;47.57;47.95;41.77;37.35;45.58;36.88;38.99;28.49;42.17;27.72;44.17;40.48;23.62;44.3;45.05;39.44;40.97;31.11;32.72;;;;
06/01/2013;36.93;33.88;28.64;27.72;32.88;32.31;36.38;38.13;35.97;31.85;38.26;29.71;33.55;28.25;36.07;29.95;24.35;39.35;37.86;34.11;30.67;31.43;30.59;;;;
07/01/2013;29.1;27.02;23.28;26.15;25.65;27.48;27.41;29.45;28.69;30.19;27.44;25.4;25.25;27.04;32.56;31.95;22.43;24.6;27.16;30.61;25.28;24.68;22.78;;;;
08/01/2013;35.7;21.41;14.43;20.37;41.53;27.7;17.44;26.06;26.5;24.09;19.88;14.22;23.49;23.62;31.97;23.4;22.56;14.48;21.58;29.3;24.75;21.76;17.97;;;;
09/01/2013;45.06;13.75;20.62;16.89;42.48;17.55;12.64;16.16;18.01;14.68;10.94;15.69;24.89;30.74;22.74;12.81;24.67;17.99;18.18;17.79;20.38;20.14;23.22;;;;
10/01/2013;51.29;12.45;37.56;16.99;57.25;34.95;25.08;4.98;36.22;8.82;4.38;23.19;51.22;28.61;25.54;4.54;37.5;62.09;33.9;4.94;40.82;5.52;33.68;;;;
11/01/2013;59.48;25.6;26.86;21.03;48.58;46.47;50.96;27.17;47.21;5.05;30.81;54.84;47.09;36.7;43.21;11.22;39.13;70.08;40.46;13.73;36.18;11.09;47.53;;;;
12/01/2013;49.18;23.57;40.45;25.15;62.03;44.36;30.35;18.25;42.04;6.89;8.92;35.02;50.42;40.13;35.1;14.92;38.3;35.82;41.46;22.89;46.17;28.41;30.7;;;;
13/01/2013;52.93;15.92;40.24;31.16;34.81;33.96;38.3;17.56;29.4;10.07;20.94;27.35;25.69;35.79;28.61;11.49;60.88;55.16;41.77;21.47;26.06;18.38;54.11;;;;
14/01/2013;54.16;15.57;31.2;27.58;41.44;42.28;41.11;20.83;35.16;13.02;21.86;37.4;35.31;38.94;30.81;12.39;48.84;56.92;33.61;22.95;33.34;15.64;39.38;;;;
15/01/2013;54.45;37.2;52.67;30.92;49.51;43.28;50.59;32.75;41.62;12.97;19.26;34.36;49.62;28.93;41.62;24.45;65.65;53.61;44.12;27.23;43.87;22.1;56.84;;;;
16/01/2013;66.58;25.19;44.06;33.37;42.54;22.72;29.36;23.38;23.75;4.93;19.71;38.64;35.17;33.02;27.9;13.1;65.83;44.66;29.1;18.01;23.15;17.12;44.61;;;;
17/01/2013;55.1;7.77;28.06;27.54;45.04;20.35;28.27;16.82;19.05;3.38;17.9;29.73;20.56;34.32;8.39;4.41;32.1;57.5;17.27;9.14;14.27;11.01;32.61;;;;
18/01/2013;48.75;12.4;27.02;20.42;26.82;22.49;25.04;15.03;25.2;12.6;12.58;15.62;27.75;29.64;21.45;9.38;25.65;34.15;29.74;15.94;24.15;16.56;31.61;;;;
19/01/2013;44.86;18.25;28.13;25.45;29.41;25.68;22.61;17.38;23.47;28.42;15.92;48.55;28.0;40.97;20.13;19.28;34.85;42.48;24.38;26.67;27.64;23.98;36.35;;;;
