Date;Agen;Bastia;Besançon;Bordeaux;Bourg-Saint-Maurice;Brest;Caen;Clermont-Ferrand;Dijon;Le Mans;Lille;Lyon;Marseille;Nantes;Nice;Orléans;Paris;Pau;Perpignan;Poitiers;Reims;Rennes;Strasbourg;Toulouse;Cognac;Nancy;Nevers
01/01/2013;10.47;15.69;10.98;22.04;45.67;18.41;16.53;12.29;21.83;11.15;14.31;24.02;26.48;16.77;24.38;15.04;33.31;12.29;14.27;15.74;17.78;21.67;20.21;16.4;;;
02/01/2013;26.43;20.97;32.65;42.28;37.41;35.57;25.47;30.38;37.33;28.96;23.34;27.86;36.1;32.64;31.45;27.11;52.35;25.85;15.53;34.22;32.15;35.62;40.82;25.4;;;
03/01/2013;33.24;23.48;30.22;53.28;55.27;30.51;20.59;43.81;32.32;21.18;17.69;49.83;59.1;27.45;37.56;21.77;47.44;26.13;18.21;28.15;26.2;35.24;28.71;47.44;;;
04/01/2013;18.81;24.62;32.8;28.73;55.39;26.34;23.94;35.62;32.63;16.59;20.89;39.36;68.01;20.72;41.08;37.46;49.22;22.23;13.81;28.95;27.84;32.69;32.21;34.23;;;
05/01/2013;21.27;21.27;21.27;21.27;21.27;21.27;21.27;21.27;21.27;21.27;21.27;21.27;21.27;20.54;21.28;21.27;24.01;21.27;21.27;21.27;21.27;21.27;21.57;21.27;;;
06/01/2013;12.37;12.86;17.86;18.65;16.41;12.32;12.92;17.96;16.83;13.52;19.62;15.88;24.29;14.74;26.47;20.9;36.71;19.33;13.69;16.2;18.08;15.06;19.63;14.72;;;
07/01/2013;13.51;22.96;30.22;32.98;52.61;23.9;20.15;30.55;23.42;16.22;24.81;33.25;60.38;17.05;37.81;21.78;49.47;17.74;23.29;18.95;27.21;24.39;36.66;21.78;;;
08/01/2013;18.2;24.95;26.26;25.62;57.82;22.51;23.32;41.42;25.39;19.2;27.46;31.15;52.95;24.09;41.3;22.02;45.64;21.72;28.03;22.65;26.78;22.35;29.54;23.97;;;
09/01/2013;28.65;31.12;28.11;27.09;37.86;25.76;26.05;31.18;27.23;25.42;29.27;33.48;42.63;23.79;38.72;28.65;34.21;29.59;35.86;25.43;27.85;24.12;24.32;31.68;;;
10/01/2013;26.08;20.14;25.65;32.8;60.41;25.51;31.28;32.29;28.43;23.48;44.83;40.14;40.43;21.56;40.86;31.92;46.79;23.53;16.96;25.66;29.15;29.94;28.3;35.64;;;
11/01/2013;37.55;13.69;32.97;53.31;49.82;33.18;34.87;27.51;32.85;28.58;45.73;37.48;26.25;29.77;41.01;39.22;63.63;33.07;23.21;36.12;42.41;34.27;39.89;41.64;;;
12/01/2013;27.67;21.52;36.64;35.97;53.79;23.95;24.3;45.61;35.58;23.21;41.16;49.22;45.61;27.64;36.09;27.33;57.87;24.27;32.24;28.42;29.82;34.75;37.01;39.76;;;
13/01/2013;13.81;17.23;23.93;17.57;33.95;23.58;20.38;22.55;22.16;19.54;32.74;28.27;33.84;19.53;29.59;22.72;35.68;10.94;18.15;15.96;24.14;21.82;27.29;16.89;;;
14/01/2013;21.97;20.96;29.76;25.11;29.42;30.13;26.83;23.04;28.49;25.79;36.33;28.27;24.36;24.89;27.19;31.7;43.74;20.53;19.32;24.46;33.6;26.23;35.47;22.96;;;
15/01/2013;24.09;25.23;31.54;26.07;36.25;28.68;30.48;29.25;32.09;29.96;36.94;37.95;35.88;27.53;35.43;34.32;41.89;19.97;26.48;28.53;35.91;29.49;32.59;24.4;;;
16/01/2013;20.66;12.69;34.82;24.76;37.8;25.04;40.81;34.75;34.93;33.54;60.51;40.24;31.77;25.18;43.19;39.38;57.51;11.53;32.57;29.04;50.16;30.25;40.4;33.13;;;
17/01/2013;22.45;17.55;48.05;34.39;44.98;22.18;45.01;26.92;43.08;40.78;75.1;35.04;32.36;40.35;45.26;54.99;80.92;20.0;17.33;42.96;61.06;47.84;50.0;29.32;;;
18/01/2013;30.26;25.55;44.87;31.29;52.28;31.26;30.06;45.5;42.91;28.6;43.65;44.39;58.34;26.51;50.45;37.4;52.8;30.73;41.87;26.39;44.02;24.63;43.94;40.34;;;
19/01/2013;21.25;21.34;45.97;28.19;38.8;30.93;31.1;65.3;43.67;24.61;30.03;55.18;19.34;19.7;36.84;27.2;47.06;21.95;25.47;29.83;32.85;25.87;45.08;26.85;;;
20/01/2013;15.06;21.18;31.21;20.09;33.16;20.96;25.73;25.52;30.68;23.06;29.36;31.16;20.61;21.11;22.48;25.65;38.17;14.89;14.96;20.69;27.59;24.12;29.85;18.31;;;
21/01/2013;19.12;11.84;30.38;22.72;39.31;24.44;37.87;21.31;29.34;30.26;44.18;39.32;36.52;25.29;31.65;31.44;53.47;14.83;23.25;21.76;33.74;33.84;40.41;26.12;;;
