Date;Agen;Bastia;Besançon;Bordeaux;Bourg-Saint-Maurice;Brest;Caen;Clermont-Ferrand;Dijon;Le Mans;Lille;Lyon;Marseille;Nantes;Nice;Orléans;Paris;Pau;Perpignan;Poitiers;Reims;Rennes;Strasbourg;Toulouse;Nancy;Cognac;Nevers
01/01/2013;12.82;19.25;14.68;16.01;34.38;12.86;12.25;6.93;12.32;10.0;10.36;11.85;23.22;13.34;31.35;9.0;12.13;16.19;15.3;13.08;9.54;11.61;19.09;13.94;;;
02/01/2013;19.26;16.08;19.37;28.54;18.91;18.14;19.17;14.84;17.81;20.96;17.68;12.78;19.89;20.33;22.89;20.73;26.2;19.25;12.6;26.45;21.43;16.58;20.51;14.33;;;
03/01/2013;34.61;24.82;23.75;46.92;31.33;12.91;10.45;25.03;22.39;17.3;15.79;28.63;32.23;17.3;27.8;15.98;16.61;26.69;14.98;29.94;13.4;14.57;17.42;31.02;;;
04/01/2013;22.86;20.7;23.59;26.49;40.66;11.43;12.98;17.3;21.41;15.47;15.43;24.81;40.06;12.96;37.8;14.32;20.68;23.42;17.72;18.29;13.83;11.39;18.19;24.41;;;
05/01/2013;13.05;22.76;16.76;15.7;34.77;8.49;8.7;10.23;13.26;10.54;16.99;12.42;31.6;12.26;36.22;12.96;17.34;15.27;12.99;12.36;16.3;9.61;16.34;11.89;;;
06/01/2013;12.86;22.75;14.54;17.62;35.97;9.39;6.61;9.26;8.36;7.93;20.22;10.32;33.22;11.05;37.18;11.34;18.3;14.05;10.96;10.67;15.59;8.83;17.16;10.84;;;
07/01/2013;12.73;28.13;20.66;19.11;41.46;15.42;9.34;16.25;14.47;10.37;20.44;16.27;39.61;8.91;45.09;12.68;22.98;14.55;16.31;12.21;19.08;9.11;29.04;11.53;;;
08/01/2013;8.94;32.19;24.4;15.81;52.56;15.59;12.54;33.94;18.5;10.8;21.08;29.92;63.53;14.78;54.54;11.23;23.71;17.97;25.89;16.97;12.84;10.07;31.48;8.9;;;
09/01/2013;16.54;24.09;30.39;23.21;65.02;9.95;13.4;32.16;20.87;15.55;21.43;38.68;63.63;22.79;48.07;15.13;23.38;33.78;25.31;21.98;13.41;17.5;29.71;18.31;;;
10/01/2013;21.22;23.37;14.33;24.47;66.28;16.05;12.89;20.17;12.88;12.01;33.0;28.3;43.99;14.03;47.24;11.58;24.07;25.89;17.21;16.61;14.6;12.18;22.37;22.83;;;
11/01/2013;21.63;20.39;20.97;29.5;22.4;17.44;20.71;17.66;18.86;21.52;26.83;15.9;23.04;23.86;35.67;19.53;32.23;21.28;16.67;28.75;26.26;18.93;24.48;27.52;;;
12/01/2013;20.4;21.71;26.72;20.03;27.7;14.04;14.83;21.31;23.74;17.46;32.84;31.39;28.8;15.13;28.9;20.98;30.72;17.46;21.57;18.0;24.2;13.09;23.54;23.46;;;
13/01/2013;9.65;15.78;30.45;17.6;29.51;17.49;18.18;14.56;31.4;17.17;30.56;31.86;28.91;23.49;33.97;21.88;32.21;7.64;12.43;14.27;28.99;19.51;30.58;8.7;;;
14/01/2013;18.99;11.82;31.01;22.4;23.46;16.09;14.35;13.26;24.9;19.81;29.99;21.36;17.93;20.22;20.67;26.47;37.73;11.13;11.57;23.66;31.75;15.68;34.19;19.76;;;
15/01/2013;13.63;16.95;18.44;18.38;21.88;16.89;15.33;12.63;19.46;15.76;26.71;24.13;24.65;18.74;29.13;16.52;18.45;12.49;12.54;16.37;21.01;15.89;24.99;12.25;;;
16/01/2013;9.89;14.39;23.07;13.81;19.52;14.57;28.64;21.67;23.47;26.04;56.29;29.91;22.02;17.61;33.78;27.08;36.91;6.39;10.19;20.86;43.52;19.02;32.06;10.29;;;
17/01/2013;23.87;14.14;45.91;29.11;27.31;16.0;35.75;25.28;31.43;38.61;89.9;30.2;32.86;46.16;36.94;50.48;73.83;17.48;13.02;45.8;68.48;29.2;42.72;23.4;;;
18/01/2013;27.42;19.99;40.67;26.16;41.98;17.48;32.38;37.34;41.36;29.07;46.55;42.29;56.01;28.9;44.11;41.79;58.34;20.15;19.23;23.01;52.18;23.32;43.44;25.43;;;
19/01/2013;15.14;16.71;37.05;17.4;32.69;20.03;37.09;47.61;40.16;37.09;32.23;35.71;16.7;25.57;23.33;39.11;43.3;12.72;20.53;16.03;35.63;24.29;41.99;14.61;;;
20/01/2013;17.24;24.45;32.05;26.09;26.53;18.26;31.09;19.89;27.64;41.59;46.93;26.27;20.27;34.82;24.64;40.22;47.37;16.33;10.04;37.79;37.08;28.84;45.75;16.34;;;
21/01/2013;15.29;14.2;17.65;19.31;24.74;13.65;30.27;9.83;20.07;21.95;46.24;27.67;25.1;16.31;24.83;21.37;35.89;9.97;16.73;17.42;30.0;14.29;37.73;12.09;;;
22/01/2013;16.94;17.97;15.44;12.93;18.7;13.46;12.54;16.85;16.25;11.05;51.08;24.84;24.96;9.34;24.57;14.25;28.78;15.21;16.41;9.31;25.29;10.45;28.62;20.97;;;
23/01/2013;19.17;19.41;32.72;18.02;43.47;15.1;13.34;25.72;25.62;11.98;88.32;46.21;17.77;28.85;18.6;16.24;34.08;10.39;10.19;16.95;46.63;19.76;46.63;10.03;;;
24/01/2013;19.09;10.75;35.1;18.82;47.34;22.01;28.93;18.78;25.34;21.49;64.8;28.51;44.42;24.83;32.66;40.57;68.44;9.13;14.94;26.91;60.49;23.05;55.66;12.52;;;
25/01/2013;30.73;19.23;34.61;38.39;36.81;24.04;50.87;28.61;33.0;42.97;55.51;37.75;34.73;42.42;33.42;45.4;54.72;26.15;14.9;30.23;38.93;34.63;40.99;26.69;;;
26/01/2013;31.04;21.81;44.45;34.63;48.41;28.91;22.64;31.24;42.47;27.24;30.46;54.98;39.72;27.43;32.66;34.98;45.46;30.87;18.74;28.64;37.67;22.75;42.0;27.41;;;
27/01/2013;24.38;24.25;27.38;30.77;43.64;22.28;19.14;18.55;33.58;21.13;18.7;42.23;42.69;24.03;33.78;21.1;25.98;23.96;21.49;20.92;18.07;18.43;27.66;26.45;;;
28/01/2013;19.33;17.92;18.77;24.09;19.68;21.48;17.79;17.75;21.03;18.76;18.98;30.81;19.82;20.98;23.36;18.9;26.75;19.52;17.64;20.69;20.67;17.53;20.19;16.49;;;
29/01/2013;25.56;19.64;14.88;23.76;26.48;23.71;6.27;13.84;17.16;10.31;8.08;33.33;36.28;17.34;33.65;13.47;12.78;23.96;22.37;16.75;8.97;11.29;8.43;34.22;;;
30/01/2013;30.75;21.54;11.26;27.15;25.38;22.9;15.3;11.64;12.51;10.57;16.09;33.21;44.67;17.67;39.04;10.19;15.24;21.35;24.42;13.84;10.34;14.24;6.63;36.91;;;
31/01/2013;21.45;25.2;12.46;20.82;22.27;27.52;23.95;12.47;12.19;15.53;25.92;29.91;28.4;15.13;40.33;13.35;23.55;27.87;16.85;12.27;18.65;18.37;11.82;21.45;;;
01/02/2013;13.56;20.43;7.47;13.74;22.07;12.36;10.84;6.85;7.99;6.14;16.67;25.69;47.59;8.02;33.3;8.1;15.32;21.31;14.75;7.34;12.22;8.74;8.99;19.56;;;
02/02/2013;7.62;18.95;9.1;10.23;10.88;15.5;12.99;6.54;8.93;9.6;14.72;9.31;20.05;9.81;20.75;10.96;14.73;10.49;8.55;9.03;14.4;11.0;13.06;5.76;;;
03/02/2013;13.48;12.09;13.53;14.22;14.27;12.98;12.28;11.24;12.23;12.49;13.95;14.25;12.4;13.19;20.56;13.66;18.15;14.03;12.03;13.13;13.78;12.9;13.21;11.95;;;
04/02/2013;11.39;19.1;11.28;14.69;25.91;20.1;19.34;7.09;11.29;12.98;19.73;26.7;19.88;16.38;34.47;12.65;21.4;10.23;8.9;9.01;15.99;15.07;7.45;9.07;;;
05/02/2013;10.11;19.87;9.33;15.38;17.11;16.99;12.38;8.09;9.27;12.12;12.18;18.27;24.61;17.16;30.0;12.23;14.53;10.75;7.27;13.62;11.17;13.77;10.03;7.74;;;
06/02/2013;9.51;15.49;7.98;13.31;12.19;16.01;13.12;7.26;7.89;10.29;11.65;9.97;16.37;11.89;17.18;9.89;12.21;11.42;8.39;11.51;10.19;12.01;9.4;7.01;;;
07/02/2013;15.37;14.73;16.04;18.76;16.26;15.63;14.62;9.28;14.17;14.35;14.17;13.45;15.92;17.34;27.98;15.5;18.85;15.6;11.64;18.23;13.93;14.44;18.43;12.98;;;
08/02/2013;14.47;14.71;17.19;17.58;19.0;14.36;14.05;15.58;16.92;15.18;18.49;20.07;17.81;13.77;24.8;18.8;23.58;11.53;12.55;19.02;22.88;12.55;16.31;13.78;;;
09/02/2013;18.43;17.0;20.73;31.01;20.28;19.06;13.94;16.14;17.51;18.44;25.76;23.31;19.32;20.34;24.81;23.26;32.64;16.31;13.48;22.24;26.5;16.69;27.75;13.95;;;
10/02/2013;9.45;13.17;21.36;13.78;24.08;10.9;6.03;14.31;21.6;7.55;16.31;22.52;20.18;9.47;22.45;13.72;22.93;9.29;10.34;8.13;18.99;8.58;24.05;9.3;;;
11/02/2013;6.47;14.89;20.45;10.03;20.54;13.94;15.59;11.36;15.87;17.28;23.86;18.28;19.3;14.61;21.69;19.06;21.48;6.94;7.78;15.94;17.62;13.31;28.15;4.84;;;
12/02/2013;13.67;15.27;40.28;26.33;28.46;19.45;29.36;14.87;33.01;23.94;52.03;23.4;22.94;27.97;29.47;30.63;41.8;12.41;10.82;28.88;42.74;23.12;44.75;9.14;;;
13/02/2013;24.5;16.77;42.79;42.38;26.08;18.06;50.06;35.78;34.87;36.03;61.5;34.73;20.89;39.3;30.98;45.24;57.56;17.27;8.04;41.87;44.29;35.77;46.47;25.77;;;
