Date;Agen;Bastia;Besançon;Bourg-Saint-Maurice;Brest;Caen;Clermont-Ferrand;Dijon;Le Mans;Lille;Lyon;Marseille;Nancy;Nantes;Nice;Orléans;Paris;Pau;Perpignan;Poitiers;Reims;Rennes;Strasbourg;Toulouse;Bordeaux;Cognac;Nevers
01/01/2013;11.23;15.26;10.2;21.04;4.75;5.07;4.93;9.73;5.95;6.9;10.41;17.97;8.53;6.55;24.55;6.55;8.41;12.5;13.79;7.66;7.54;4.14;15.66;12.06;;;
02/01/2013;14.77;10.58;13.69;12.42;8.46;8.45;10.55;13.35;12.15;9.59;10.14;14.8;14.01;13.99;18.5;11.85;14.88;16.15;5.95;16.87;13.4;7.5;12.57;10.87;;;
03/01/2013;23.82;15.18;17.99;20.89;6.49;6.75;19.18;18.69;10.51;10.15;22.41;23.88;13.04;10.98;18.1;13.62;12.77;20.51;13.6;17.87;11.03;7.06;12.59;22.3;;;
04/01/2013;20.91;18.39;19.14;28.64;7.61;8.36;15.48;20.13;10.73;10.31;20.43;36.36;11.04;9.69;28.13;11.95;14.06;21.06;26.69;14.86;11.41;7.34;11.94;23.08;;;
05/01/2013;13.47;20.75;14.09;25.63;8.36;7.94;9.16;11.9;9.18;13.36;11.92;31.55;11.09;10.65;28.07;10.4;13.09;15.42;18.65;11.52;12.76;8.18;12.39;13.15;;;
06/01/2013;12.19;20.32;12.3;21.47;9.48;7.55;8.37;9.03;7.91;15.55;10.32;27.41;11.7;9.65;26.12;10.22;14.45;14.26;12.9;9.73;12.94;7.19;14.21;11.0;;;
07/01/2013;13.61;19.79;17.1;22.38;10.6;7.08;13.88;13.86;8.03;17.32;14.22;31.2;21.98;7.46;27.01;10.71;16.41;13.61;17.83;10.6;15.56;5.85;22.37;12.15;;;
08/01/2013;11.47;18.71;15.75;31.89;9.1;9.82;26.61;16.22;9.44;18.38;30.28;47.71;15.61;13.78;31.22;10.47;16.58;19.42;24.98;13.18;11.48;6.23;25.57;6.62;;;
09/01/2013;17.97;14.05;23.45;34.65;7.31;12.04;28.02;17.38;10.19;18.01;36.41;43.67;9.41;19.38;29.98;12.94;15.26;31.09;26.86;16.99;11.5;12.27;24.27;13.88;;;
10/01/2013;17.77;17.37;13.19;26.17;6.83;9.83;17.73;13.71;9.16;21.59;26.08;29.71;9.96;9.05;27.25;12.46;19.39;19.4;14.5;14.04;15.13;6.51;13.0;17.56;;;
