station,pollutant,date,day_mean,validity
FR01001,O3,2003/01/01,44,1
FR01001,O3,2003/01/02,74,1
FR01001,O3,2003/01/03,65,1
FR01001,O3,2003/01/04,35,1
FR01001,O3,2003/01/05,28,1
FR01001,O3,2003/01/06,25,1
FR01001,O3,2003/01/07,27,1
FR01001,O3,2003/01/08,20,1
FR01001,O3,2003/01/09,19,1
FR01001,O3,2003/01/10,16,1
FR01001,O3,2003/01/11,31,1
FR01001,O3,2003/01/12,9,1
FR01001,O3,2003/01/13,16,1
FR01001,O3,2003/01/14,15,1
FR01001,O3,2003/01/15,35,1
FR01001,O3,2003/01/16,25,1
FR01001,O3,2003/01/17,19,1
FR01001,O3,2003/01/18,30,1
FR01001,O3,2003/01/19,40,1
FR01001,O3,2003/01/20,52,1
FR01001,O3,2003/01/21,49,1
FR01001,O3,2003/01/22,51,1
FR01001,O3,2003/01/23,29,1
FR01001,O3,2003/01/24,25,1
FR01001,O3,2003/01/25,18,1
FR01001,O3,2003/01/26,31,1
FR01001,O3,2003/01/27,20,1
FR01001,O3,2003/01/28,53,1
FR01001,O3,2003/01/29,47,1
FR01001,O3,2003/01/30,49,1
FR01001,O3,2003/01/31,36,1
FR01001,O3,2003/02/01,29,1
FR01001,O3,2003/02/02,43,1
FR01001,O3,2003/02/03,54,1
FR01001,O3,2003/02/04,37,1
FR01001,O3,2003/02/05,35,1
FR01001,O3,2003/02/06,29,1
FR01001,O3,2003/02/07,35,1
FR01001,O3,2003/02/08,13,1
FR01001,O3,2003/02/09,10,1
FR01001,O3,2003/02/10,12,1
FR01001,O3,2003/02/11,6,1
FR01001,O3,2003/02/12,19,1
FR01001,O3,2003/02/13,26,1
FR01001,O3,2003/02/14,23,1
FR01001,O3,2003/02/15,42,1
FR01001,O3,2003/02/16,55,1
FR01001,O3,2003/02/17,36,1
FR01001,O3,2003/02/18,26,1
FR01001,O3,2003/02/19,33,1
FR01001,O3,2003/02/20,18,1
FR01001,O3,2003/02/21,12,1
FR01001,O3,2003/02/22,17,1
FR01001,O3,2003/02/23,28,1
FR01001,O3,2003/02/24,27,1
FR01001,O3,2003/02/25,19,1
FR01001,O3,2003/02/26,35,1
FR01001,O3,2003/02/27,35,1
FR01001,O3,2003/02/28,45,1
FR01001,O3,2003/03/01,40,1
FR01001,O3,2003/03/02,61,1
FR01001,O3,2003/03/03,40,1
FR01001,O3,2003/03/04,21,1
FR01001,O3,2003/03/05,25,1
FR01001,O3,2003/03/06,21,1
FR01001,O3,2003/03/07,26,1
FR01001,O3,2003/03/08,59,1
FR01001,O3,2003/03/09,64,1
FR01001,O3,2003/03/10,49,1
FR01001,O3,2003/03/11,58,1
FR01001,O3,2003/03/12,52,1
FR01001,O3,2003/03/13,47,1
FR01001,O3,2003/03/14,63,1
FR01001,O3,2003/03/15,66,1
